timestamp,tus,suites,vectors,rules
2026-07-16T12:13:31+10:00,10,13,94,15
2026-07-16T12:15:04+10:00,10,13,94,15
2026-07-16T12:18:55+10:00,11,13,94,15
2026-07-16T12:26:31+10:00,13,13,94,16
2026-07-16T12:32:54+10:00,14,13,94,17
2026-07-16T12:38:23+10:00,15,13,94,17
2026-07-16T12:44:30+10:00,15,13,94,17
2026-07-16T12:52:01+10:00,17,13,94,18
2026-07-16T13:32:17+10:00,18,14,128,21
2026-07-16T13:42:32+10:00,19,15,132,22
2026-07-16T13:47:58+10:00,20,15,132,22
2026-07-16T13:49:31+10:00,20,15,132,22
2026-07-16T16:10:41+10:00,21,15,132,26
2026-07-16T16:16:39+10:00,22,15,132,26
2026-07-16T16:22:42+10:00,23,15,132,26
2026-07-16T16:31:07+10:00,24,15,132,27
2026-07-16T16:40:27+10:00,25,15,132,27
2026-07-16T16:44:33+10:00,26,15,132,27
2026-07-16T16:51:48+10:00,27,15,132,27
2026-07-17T08:47:23+10:00,28,15,132,27
2026-07-17T10:25:50+10:00,29,15,132,27
2026-07-17T10:45:13+10:00,30,15,132,27
